esp,ing
"Hay tantas cosas que considerar y mucho en qué pensar." , "There are so many things to consider and so much to think about."
"Tenemos tantas ideas y tanto potencial." , "We have so many ideas and so much potential."
"Hay tantas oportunidades y tanto por explorar." , "There are so many opportunities and so much to explore."
"Hay tantas opciones y tanto para elegir." , "There are so many options and so much to choose from."
"Tenemos tanto que ganar y tantas posibilidades." , "We have so much to gain and so many possibilities."
"Hay tantos recursos y tanto para acceder." , "There are so many resources and so much to access."
"Hay tantas opciones y tanto por decidir." , "There are so many choices and so much to decide."
"Hay tantas opciones y tanto para tener en cuenta." , "There are so many options and so much to take into account."
"Todos somos especiales a nuestra manera." , "All of us are special in our own way"
"La mayor parte del tiempo estoy feliz." , "Most of the time, I'm happy"
"Algunos de nosotros nacemos con grandeza." , "Some of us are born with greatness"
"Se necesita mucho trabajo duro para tener éxito." , "A lot of hard work is needed to be successful"
"Casi todos tenemos buenas intenciones." , "Nearly all of us have good intentions"
"Algunos de los mejores momentos de la vida son inesperados." , "Some of the best moments in life are unexpected"
"La mayoría de las decisiones que tomamos tienen consecuencias." , "Most of the decisions we make have consequences"
"Nadie puede predecir el futuro." , "No one can predict the future"
"Algunas personas pueden marcar la diferencia." , "A few people are able to make a difference"
"Ninguno de nosotros puede ser perfecto." , "None of us can be perfect"
"Se requiere mucha práctica para dominar una habilidad." , "A lot of practice is required to master a skill"
"Ninguno de nosotros es inmune a los errores." , "None of us are immune to mistakes"
"La mayoría de nosotros cometeremos errores en algún momento." , "Most of us will make mistakes at some point"
"Casi todos necesitamos ayuda de vez en cuando." , "Nearly all of us need help from time to time"
"Algunos de nosotros podemos inspirar a otros." , "A few of us can inspire others"
"Nadie es una isla." , "No one is an island"
"Algunos de los mejores recuerdos se hacen en familia." , "Some of the best memories are made with family"
"Se necesita mucho esfuerzo para alcanzar nuestras metas." , "A lot of effort is needed to reach our goals"
"Ninguno de nosotros puede hacerlo solo." , "None of us can do it alone"
"La mayoría de nosotros tenemos" , "Most of us have"
"Ninguno de nosotros esperaba el resultado." , "None of us expected the outcome."
"La mitad de los alumnos aprobaron el examen." , "Half of the students passed the exam."
"Todas las preguntas fueron respondidas correctamente." , "All of the questions were answered correctly."
"Faltaban algunas piezas." , "A few of the pieces were missing."
"Ninguna de las ideas era original." , "None of the ideas were original."
"Se comió la mitad del pastel." , "Half of the cake was eaten."
"Se gastó todo el dinero." , "All of the money was spent."
"Algunos de los participantes abandonaron." , "A few of the participants dropped out."
"Ninguna de las respuestas fue correcta." , "None of the answers were correct."
"La mitad del equipo ganó la competencia." , "Half of the team won the competition."
"Todo el mundo no tiene nada." , "Everyone has nothing."
"Nadie lo sabe todo." , "Nobody knows everything."
"Nada está en todas partes." , "Nothing is everywhere."
"Todo el mundo hace algo todos los días." , "Everybody does something everyday."
"Todo sucede por una razón." , "Everything happens for a reason."
"Nadie puede hacerlo todo." , "No one can do everything."
"Nada es imposible." , "Nothing is impossible."
"Dondequiera que vayas, algo nuevo te espera." , "Everywhere you go, something new awaits."
"Nadie es perfecto." , "No one is perfect."
"Nadie puede predecir el futuro." , "Nobody can predict the future."
"Todo tiene su propio tiempo." , "Everything has its own time."
"Todo el mundo tiene su propia opinión." , "Everybody has their own opinion."
"Nada es permanente." , "Nothing is permanent."
"Dondequiera que mires, hay belleza." , "Everywhere you look, there's beauty."
"Nadie debería tener que ir solo por la vida." , "No one should have to go through life alone."
"Nadie puede hacerlo todo." , "Nobody can do it all."
"Nada está escrito en piedra." , "Nothing is set in stone."
"Todos tenemos la capacidad de aprender." , "Everyone has the capacity to learn."
"Todo el mundo comete errores." , "Everybody makes mistakes."
"Todo está conectado." , "Everything is connected."
"Donde quiera que mires, hay algo que aprender." , "Everywhere you turn, there's something to learn."
"Nadie debe ser juzgado por sus errores." , "No one should be judged by their mistakes."
"Nadie es perfecto." , "Nobody is perfect."
"Nada es seguro sino la muerte y los impuestos." , "Nothing is certain but death and taxes."
"Todo el mundo tiene una historia que contar." , "Everyone has a story to tell."
"Todos deben ser tratados por igual." , "Everybody should be treated equally."
"Todo es posible." , "Everything is possible."
"Mires donde mires, hay algo por lo que estar agradecido." , "Everywhere you look, there's something to be grateful for."
"Nadie debe ser discriminado." , "No one should be discriminated against."
"Nadie es mejor que nadie." , "Nobody is better than anyone else."
"Todo vale en el amor y en la guerra." , "All is fair in love and war."
"Ninguno de nosotros es perfecto." , "None of us is perfect."
"Todos los días se aprende algo nuevo." , "Everyday something new is learned."
"Todo lo bueno debe llegar a su fin." , "All good things must come to an end."
"Ninguno de nosotros puede predecir el futuro." , "None of us can predict the future."
"Dondequiera que mires, puedes encontrar algo increíble." , "Everywhere you look, something amazing can be found."
"Ninguno de nosotros es inmune a cometer errores." , "None of us is immune to making mistakes."
"Todo es posible con trabajo duro." , "All things are possible with hard work."
"Ningún lugar está a salvo del peligro." , "Nowhere is safe from danger."
"Todos los días tomamos decisiones que dan forma a nuestras vidas." , "Everyday we make choices that shape our lives."
"No se encuentra en ninguna parte." , "Nowhere to be found."
"No hay adónde correr." , "Nowhere to run."
"Nada lo suficientemente cerca." , "Nowhere near enough."
"Ningún lugar a la vista." , "Nowhere in sight."
"Ningún lugar donde esconderse." , "Nowhere to hide."
"Todo es posible con trabajo duro y dedicación." , "Anything is possible with some hard work and dedication."
"Alguien por ahí se preocupa por ti y quiere lo mejor para ti." , "Someone out there cares about you and wants the best for you."
"Hay algo especial en hacer una diferencia en la vida de alguien." , "There's something special about making a difference in someone's life."
"En algún punto del camino, encontrarás el coraje para seguir adelante." , "Somewhere along the way, you'll find the courage to keep going."
"Cualquiera puede tener un impacto positivo en el mundo si lo intenta." , "Anyone can make a positive impact on the world if they try."
"Cualquiera puede marcar la diferencia si se lo propone." , "Anyone can make a difference if they put their mind to it."
"Todo es posible si crees en ti mismo." , "Anything is possible if you believe in yourself."
"Dondequiera que vaya, hay una oportunidad de marcar la diferencia." , "Anywhere you go, there's an opportunity to make a difference."
"Se mire como se mire, la vida es un hermoso viaje." , "Anyway you look at it, life is a beautiful journey."
"Hay más en la vida de lo que parece." , "There's more to life than meets the eye."
"Nadie puede tener más de lo que ya tiene." , "Anyone can't have more than they already have."
"Alguien no va a encontrar nada mejor en otro lugar." , "Someone isn't going to find anything better somewhere else."
"Nada mejorará la situación de todos modos." , "Nothing will make the situation any better anyway."
"No hay nada más que cualquiera pueda hacer." , "There isn't anything more that anyone can do."
"Nadie puede hacer nada al respecto en ninguna parte." , "No one can do anything about it anywhere."
"No hay otro lugar al que alguien pueda ir." , "There isn't anywhere else for someone to go."
"Nada más va a marcar la diferencia de todos modos." , "Nothing else is going to make any difference anyway."
"Nadie puede hacer nada más de lo que ya se ha hecho." , "Nobody can do anything more than what has already been done."
"No hay nada más que nadie pueda hacer." , "There isn't anything else that anyone can do."
"No hay forma de salir de esta situación." , "There isn't anyway to get out of this situation."
"¿Hay alguien en algún lugar que quiera más?" , "Is there anyone anywhere who wants more?"
"¿Hay algo que alguien pueda hacer de todos modos?" , "Is there anything anyone can do anyway?"
"¿Hay algún lugar donde alguien pueda ir por algo?" , "Is there somewhere someone can go for something?"
"¿Alguien en algún lugar sabe más sobre algo?" , "Does anyone anywhere know more about something?"
"¿Alguien en cualquier lugar puede encontrar algo?" , "Can someone anywhere find anything?"
"¿Hay algo más que alguien pueda hacer en alguna parte?" , "Is there more anyone can do somewhere?"
"¿Hay algo más que alguien pueda hacer de todos modos?" , "Is there anything more anyone can do anyway?"
"¿Alguien en algún lugar puede encontrar algo?" , "Can anyone somewhere find anything?"
"¿Hay algo más que alguien pueda hacer en cualquier lugar?" , "Is there more someone can do anywhere?"
"¿Alguien sabe más sobre algo en alguna parte?" , "Does anyone know more about something somewhere?"
"No tengo ni idea." , "I don't have any idea."
"No tengo dinero." , "I don't have any money."
"No tiene amigos." , "He doesn't have any friends."
"Ella no tiene hermanos." , "She doesn't have any siblings."
"No tienen ningún plan." , "They don't have any plans."
"No tengo tiempo." , "I don't have any time."
"No tenemos comida." , "We don't have any food."
"No tienes ninguna opción." , "You don't have any options."
"No tenemos ninguna información." , "We don't have any information."
"No tiene ninguna respuesta." , "He doesn't have any answers."
"¿Tienes dinero?" , "Do you have any money?"
"¿Tiene amigos?" , "Does he have any friends?"
"¿Tiene hermanos?" , "Does she have any siblings?"
"¿Tienen algún plan?" , "Do they have any plans?"
"¿Tienes tiempo?" , "Do you have any time?"
"¿Tenemos comida?" , "Do we have any food?"
"¿Tiene alguna opción?" , "Do you have any options?"
"¿Tenemos alguna información?" , "Do we have any information?"
"¿Tiene alguna respuesta?" , "Does he have any answers?"
"¿Tienes alguna idea?" , "Do you have any ideas?"
"¿Qué puedo hacer con algunos?" , "What can I do with some?"
"¿Cómo puedo usar algunos?" , "How can I use some?"
"¿Cuáles son algunas formas de usar algunos?" , "What are some ways to use some?"
"¿Cuáles son algunos usos para algunos?" , "What are some uses for some?"
"¿Cuáles son algunas ideas para usar some?" , "What are some ideas for using some?"
"¿Cuáles son algunos ejemplos del uso de algunos?" , "What are some examples of using some?"
"¿Cuáles son algunos usos comunes para algunos?" , "What are some common uses for some?"
"¿Cuáles son algunas formas creativas de usar algunos?" , "What are some creative ways to use some?"
"¿Cómo hago uso de algunos?" , "How do I make use of some?"
"¿Cuáles son algunos usos interesantes para algunos?" , "What are some interesting uses for some?"
"De todos modos, voy a seguir intentándolo." , "Anyhow, I'm going to keep trying."
"Ya no tengo la energía." , "Anymore, I just don't have the energy."
"De todos modos, lo resolveré." , "Anyhow, I'll figure it out."
"De todos modos, comencemos." , "Anyhow, let's get started."
"Más, parece que nada funciona." , "Anymore, it seems like nothing works."
"De todos modos, eso es todo lo que tengo que decir." , "Anyhow, that's all I have to say."
"Ya no estoy seguro de qué hacer." , "Anymore, I'm not sure what to do."
"De todos modos, todavía estoy aquí." , "Anyhow, I'm still here."
"Más, es demasiado difícil." , "Anymore, it's just too hard."
"De todos modos, haré lo mejor que pueda." , "Anyhow, I'll do my best."
